Original_txt,Label
"writing – review & editing,  #57221349415 ,  #23978938700 H., and  #7004015769 ","[""Writing - Review and Editing""]"
#57201813576 G. and  #56726810600 M. scientifically supported and reviewed the paper,"[""Writing - Review and Editing""]"
"All authors discussed, edited, and approved the final version.","[""Writing - Review and Editing""]"
review & editing,"[""Writing - Review and Editing""]"
"writing – review & editing,  #56486117100 ,  #57207846049 ,  #35218302000 ,  #55673568000 , and  #57226633862 A.","[""Writing - Review and Editing""]"
Critical Revision,"[""Writing - Review and Editing""]"
All authors contributed to reviewing.,"[""Writing - Review and Editing""]"
#56459561500 : Writing – review & editing,"[""Writing - Review and Editing""]"
"#6503983109 :Writing - review & editing, Methodology.","[""Writing - Review and Editing""]"
All of the authors reviewed and edited the paper.,"[""Writing - Review and Editing""]"
#57193665917 : investigation and review writing and editing,"[""Writing - Review and Editing""]"
"Writing – Review & Editing,  #57188863915 ,  #36059217600 ,  #35118174700 , and  #7006448332 ","[""Writing - Review and Editing""]"
"#7005321990 : critical revision, final approval","[""Writing - Review and Editing""]"
"#56423885100 : Conceptualization, Writing – review & editing","[""Writing - Review and Editing""]"
"#57217152965  M.D.,  #57195195650 c., Ph.D.: Writing- Reviewing and Editing","[""Writing - Review and Editing""]"
"Daniel  #57218629115 : Conceptualization, Methodology, Writing- Reviewing and Editing, Investigation, Project administration.","[""Writing - Review and Editing""]"
#57208850303  designed research and wrote and edited the article.,"[""Writing - Review and Editing""]"
"Writing—Review & Editing  #57201026140 ,  #57193777481 , and  #7102296049 ","[""Writing - Review and Editing""]"
"Writing-review & editing:  #35598133800 ,  #57205209525 ","[""Writing - Review and Editing""]"
"#57199706692 : Resources, Writing - Review & Editing, Data Curation","[""Writing - Review and Editing""]"
"All authors subsequently critically edited the report, and all read and approved the final edition.","[""Writing - Review and Editing""]"
#57210988604  conducted the statistical analysis and revised the statistical methods section,"[""Writing - Review and Editing""]"
"Writing – Review & Editing,  #7401870302 ,  #57038623700 , and  #7403743591 ","[""Writing - Review and Editing""]"
"Critical revisions for important intellectual content:  #56964835300 , JH.","[""Writing - Review and Editing""]"
All the authors participated in discussing the results and in revising the article.,"[""Writing - Review and Editing""]"
"Writing – Review & Editing,  #36614130400 ,  #57221632220 ,  #57219818292 ,  #6506831957 ,  #7005268745 , R.- #34975075500 ., and  #7003851307 ","[""Writing - Review and Editing""]"
"Revise the article critically for important intellectual content:  #57211515310 ,  #57203365526 ,  #57199847270 ","[""Writing - Review and Editing""]"
"Writing - review & editing:  #57219612747 ,  #39160920100 ,  #57142608200 ,  #6603504669 .","[""Writing - Review and Editing""]"
"#36550513300  and  #50060908700 : Contributed data or analysis tools, formal analysis, resources, review&editing","[""Writing - Review and Editing""]"
"#6603247788 , MD: Writing review and editing, visualization","[""Writing - Review and Editing""]"
Revision:  #57219296663  and  #7003364510,"[""Writing - Review and Editing""]"
" #57221726110 : Investigation, Methodology, Formal analysis, Writing – review & editing","[""Writing - Review and Editing""]"
"#57192385551 :Conceptualization, Writing - review & editing","[""Writing - Review and Editing""]"
#57218284992  M.D.  #57195195650 c: Writing- Reviewing and Editing,"[""Writing - Review and Editing""]"
She helped collect literature and reviewed each version closely,"[""Writing - Review and Editing""]"
#57203217672   #57194267425  did data curation and writing - review & editing,"[""Writing - Review and Editing""]"
"Writing – Review & Editing,  #57218844712 ,  #57169890900 ,  #7402564977 .,  #57218846893 ,  #55314417500 , and B. #57218844712 ","[""Writing - Review and Editing""]"
#6507040349 : Writing - review & editing,"[""Writing - Review and Editing""]"
#35484454100 : Writing – review & editing,"[""Writing - Review and Editing""]"
"#57192587761 , MS contributed to data acquisition, revising the article critically for important intellectual content, and provided final approval of the version to be published","[""Writing - Review and Editing""]"
