,pii,Section_content,Spell_Check_Count,Spell_Check,Converted_Section_Content,Authors
0,S0001457520316912,#57221096756 conceptualization data processing analysis methodology writing original draft #57221100279 conceptualization data processing analysis #15841581600 conceptualization revisingoriginal draft #55599484000 conceptualization revisingoriginal draft #57189246657 methodology #56926843000 conceptualization methodology supervision writing review editing revisingoriginal draft,3,"{revisingoriginal: 'original', revisingoriginal: 'original', revisingoriginal: 'original'}"," #57221096756 : Conceptualization, Data - processing & analysis, Methodology, Writing - original draft.  #57221100279 : Conceptualization, Data - processing & analysis.  #15841581600 : Conceptualization, revising-original draft.  #55599484000 : Conceptualization, revising-original draft.  #57189246657 : Methodology.  #56926843000 : Conceptualization, Methodology, Supervision, Writing - review & editing, revising-original draft.","[{Authorseq"":1,""auid"":57221096756,""given_name_pn"":""Qinghong"",""surname_pn"":""Chen"",""initials_pn"":""Q.""},{""Authorseq"":2,""auid"":57221100279,""given_name_pn"":""Ruifeng"",""surname_pn"":""Gu"",""initials_pn"":""R.""},{""Authorseq"":3,""auid"":15841581600,""given_name_pn"":""Helai"",""surname_pn"":""Huang"",""initials_pn"":""H.""},{""Authorseq"":4,""auid"":55599484000,""given_name_pn"":""Jaeyoung"",""surname_pn"":""Lee"",""initials_pn"":""J.""},{""Authorseq"":5,""auid"":57189246657,""given_name_pn"":""Xiaoqi"",""surname_pn"":""Zhai"",""initials_pn"":""X.""},{""Authorseq"":6,""auid"":56926843000,""given_name_pn"":""Ye"",""surname_pn"":""Li"",""initials_pn"":""Y.""}]"""
1,S000145752031770X,the authors confirm contribution paper follows study conception design #57221288000 #7006423551 #56323815300 data collection #56323815300 #57139150400 #57221288000 analysis interpretation results #57221288000 #7006423551 draft manuscript preparation #57221288000 #7006423551 all authors reviewed results approved final version manuscript,0,{},"The authors confirm contribution to the paper as follows: study conception and design:  #57221288000 ,  #7006423551 ,  #56323815300 ; data collection:  #56323815300 ,  #57139150400 ,  #57221288000 ; analysis and interpretation of results:  #57221288000 ,  #7006423551 ; draft manuscript preparation:  #57221288000 ,  #7006423551 . All authors reviewed the results and approved the final version of the manuscript.","[{Authorseq"":1,""auid"":57221288000,""given_name_pn"":""Zubayer"",""surname_pn"":""Islam"",""initials_pn"":""Z.""},{""Authorseq"":2,""auid"":7006423551,""given_name_pn"":""Mohamed"",""surname_pn"":""Abdel-Aty"",""initials_pn"":""M.""},{""Authorseq"":3,""auid"":56323815300,""given_name_pn"":""Qing"",""surname_pn"":""Cai"",""initials_pn"":""Q.""},{""Authorseq"":4,""auid"":57139150400,""given_name_pn"":""Jinghui"",""surname_pn"":""Yuan"",""initials_pn"":""J.""}]"""
2,S0001457521002001,the authors confirm contribution paper follows study conception design #57208572807 #26645222600 data collection #57208572807 analysis interpretation results #57208572807 #26645222600 draft manuscript preparation #57208572807 #26645222600 all authors reviewed results approved final version manuscript,0,{},"The authors confirm contribution to the paper as follows, study conception and design:  #57208572807  and  #26645222600 ; data collection:  #57208572807 ; analysis and interpretation of results:  #57208572807  and  #26645222600 ; draft manuscript preparation:  #57208572807  and  #26645222600 . All authors reviewed the results and approved the final version of the manuscript.","[{Authorseq"":1,""auid"":57208572807,""given_name_pn"":""Ankit Kumar"",""surname_pn"":""Yadav"",""initials_pn"":""A.K.""},{""Authorseq"":2,""auid"":26645222600,""given_name_pn"":""Nagendra R."",""surname_pn"":""Velaga"",""initials_pn"":""N.R.""}]"""
3,S0001706X21001960,jacques #7006426873 designed study established mp ran project wrote paper erzelia #37102932400 assisted running mp interviewed mothers commented manuscript #8725049300 supervised assisted prevalence survey wrote paper sara #57225011150 conducted prevalence survey undertook pcr analysis #57225010583 sanholdt conducted field survey assessing care givers responses mp #57225008425 ran mp read slides responsible treatment #45661380900 helped supervise running mp analysed data wrote paper,12,"{mp: 'a', erzelia: 'review', mp: 'and', sara: 'data', pcr: 'case', sanholdt: 'and', givers: '##rs', mp: '.', mp: 'to', supervise: 'supervised', mp: 'of', analysed: 'accessed'}","Jacques D  #7006426873  designed the study, established the MP, ran the project and wrote the paper Erzelia V E  #37102932400  assisted in running the MP interviewed mothers and commented on the manuscript  #8725049300  supervised and assisted in the prevalence survey and wrote the paper Sara P  #57225011150  conducted the prevalence survey and undertook the PCR analysis  #57225010583  Sanholdt conducted the field survey assessing care givers responses to the MP  #57225008425  ran the MP, read the slides and was responsible for treatment  #45661380900  helped supervise the running of the MP, analysed the data and wrote the paper","[{Authorseq"":1,""auid"":7006426873,""given_name_pn"":""Jacques D."",""surname_pn"":""Charlwood"",""initials_pn"":""J.D.""},{""Authorseq"":2,""auid"":37102932400,""given_name_pn"":""Erzelia V.E."",""surname_pn"":""Tomás"",""initials_pn"":""E.V.E.""},{""Authorseq"":3,""auid"":8725049300,""given_name_pn"":""Sonia"",""surname_pn"":""Enosse"",""initials_pn"":""S.""},{""Authorseq"":4,""auid"":57225011150,""given_name_pn"":""Sara P."",""surname_pn"":""Saija"",""initials_pn"":""S.P.""},{""Authorseq"":5,""auid"":57225010583,""given_name_pn"":""Jannick"",""surname_pn"":""Sahlholdt"",""initials_pn"":""J.""},{""Authorseq"":6,""auid"":57225008425,""given_name_pn"":""Lourenço"",""surname_pn"":""Filemon"",""initials_pn"":""L.""},{""Authorseq"":7,""auid"":45661380900,""given_name_pn"":""Ayubo"",""surname_pn"":""Kampango"",""initials_pn"":""A.""}]"""
4,S0002914920301132,conceptualization #57198261180 #55070612500 data curation #57198261180 #57215589364 #55070612500 formal analysis #57198261180 #55070612500 funding acquisition #55070612500 investigation methodology #57198261180 #57190931214 #56651206800 #6602272929 #56577496300 #55070612500 supervision #55070612500 validation #57198261180 #56651206800 #55450269200 #6602272929 #56577496300 #7101753861 original draft #57198261180 #55070612500 review editing #57198261180 #57190931214 #57215589364 #55450269200 #6602272929 #56651206800 #56577496300 #7101753861 #55070612500,2,"{curation: 'extraction', validation: 'edition'}","Conceptualization:  #57198261180 ,  #55070612500 ; Data curation:  #57198261180 ,  #57215589364 ,  #55070612500 ; Formal analysis:  #57198261180 ,  #55070612500 ; Funding acquisition:  #55070612500 ; Investigation and Methodology:  #57198261180 ,  #57190931214 ,  #56651206800 ,  #6602272929 ,  #56577496300 ,  #55070612500 ; Supervision:  #55070612500 ; Validation:  #57198261180 ,  #56651206800 ,  #55450269200 ,  #6602272929 ,  #56577496300 ,  #7101753861 ; Original draft:  #57198261180 ,  #55070612500 ; Review and editing:  #57198261180 ,  #57190931214 ,  #57215589364 ,  #55450269200 ,  #6602272929 ,  #56651206800 ,  #56577496300 ,  #7101753861 ,  #55070612500 .","[{Authorseq"":1,""auid"":57198261180,""given_name_pn"":""Kartik"",""surname_pn"":""Gupta"",""initials_pn"":""K.""},{""Authorseq"":2,""auid"":57190931214,""given_name_pn"":""Rajat"",""surname_pn"":""Kalra"",""initials_pn"":""R.""},{""Authorseq"":3,""auid"":56651206800,""given_name_pn"":""Indranee"",""surname_pn"":""Rajapreyar"",""initials_pn"":""I.""},{""Authorseq"":4,""auid"":56577496300,""given_name_pn"":""Joanna M."",""surname_pn"":""Joly"",""initials_pn"":""J.M.""},{""Authorseq"":5,""auid"":57215589364,""given_name_pn"":""Mike"",""surname_pn"":""Pate"",""initials_pn"":""M.""},{""Authorseq"":6,""auid"":55450269200,""given_name_pn"":""Marc G."",""surname_pn"":""Cribbs"",""initials_pn"":""M.G.""},{""Authorseq"":7,""auid"":6602272929,""given_name_pn"":""Sameer"",""surname_pn"":""Ather"",""initials_pn"":""S.""},{""Authorseq"":8,""auid"":7101753861,""given_name_pn"":""Sumanth D."",""surname_pn"":""Prabhu"",""initials_pn"":""S.D.""},{""Authorseq"":9,""auid"":55070612500,""given_name_pn"":""Navkaranbir S."",""surname_pn"":""Bajaj"",""initials_pn"":""N.S.""}]"""
5,S0002914920306883,#57189385591 md conceptualization formal analysis #57213472596 md data curation #57218421000 investigation methodology #57213472596 #56406209000 roleswriting original draft #57218419661 hoti mbbs data collection #6602435498 md validation critical review #6507283777 frcp validation visualization david #7006014406 facc supervision,11,"{md: 'data', md: '##d', curation: 'collection', hoti: '.', mbbs: '##b', md: '##d', validation: 'data', frcp: '##d', validation: 'data', david: 'paper', facc: 'full'}"," #57189385591 , MD: Conceptualization; Roles/Writing - original draft; Formal analysis  #57213472596 , MD: Data curation  #57218421000 : Investigation; Methodology  #57213472596   #56406209000 : Roles/Writing - original draft  #57218419661  Hoti MBBS: Data Collection  #6602435498 , MD: Validation; Critical Review  #6507283777 , FRCP: Validation; Visualization David  #7006014406 , FACC: Supervision; Critical Review","[{Authorseq"":1,""auid"":57189385591,""given_name_pn"":""Waqas"",""surname_pn"":""Ullah"",""initials_pn"":""W.""},{""Authorseq"":2,""auid"":57213472596,""given_name_pn"":""Zain"",""surname_pn"":""Ali"",""initials_pn"":""Z.""},{""Authorseq"":3,""auid"":57218421000,""given_name_pn"":""Usama"",""surname_pn"":""Sadiq"",""initials_pn"":""U.""},{""Authorseq"":4,""auid"":56406209000,""given_name_pn"":""Ali"",""surname_pn"":""Rafiq"",""initials_pn"":""A.""},{""Authorseq"":5,""auid"":57218419661,""given_name_pn"":""Salman"",""surname_pn"":""Khan"",""initials_pn"":""S.""},{""Authorseq"":6,""auid"":6507283777,""given_name_pn"":""Mamas A."",""surname_pn"":""Mamas"",""initials_pn"":""M.A.""},{""Authorseq"":7,""auid"":6602435498,""given_name_pn"":""Pierre"",""surname_pn"":""Sabouret"",""initials_pn"":""P.""},{""Authorseq"":8,""auid"":7006014406,""given_name_pn"":""David L."",""surname_pn"":""Fischman"",""initials_pn"":""D.L.""}]"""
6,S0002914920308997,conceptualization #6602655040 #9638921000 #54410706100 methodology #6602655040 #54410706100 software #6602655040 validation #6602655040 #54410706100 #55889554600 formal analysis #6602655040 investigation #9638921000 #6602655040 resources #6602655040 #7003331105 data curation #6602655040 #55889554600 #7003331105 writing—original draft preparation #9638921000 #6602655040 writing—review editing #54410706100 #7003331105 #55889554600 #6602655040 visualization #6602655040 supervision #6602655040 project administration #6602655040 funding acquisition #6602655040 all authors read agreed published version manuscript,4,"{conceptualization: 'compilation', validation: 'data', curation: 'extraction', visualization: 'documentation'}","Conceptualization,  #6602655040 ,  #9638921000  and  #54410706100 ; methodology,  #6602655040 ,  #54410706100 ; software,  #6602655040 ; validation,  #6602655040 ,  #54410706100 ,  #55889554600 ; formal analysis,  #6602655040 ; investigation,  #9638921000 ,  #6602655040 ; resources,  #6602655040 ,  #7003331105 ; data curation,  #6602655040 ,  #55889554600 ,  #7003331105 ; writing—original draft preparation,  #9638921000 ,  #6602655040 ; writing—review and editing,  #54410706100 ,  #7003331105 ,  #55889554600 ,  #6602655040 ; visualization,  #6602655040 ; supervision,  #6602655040 ; project administration,  #6602655040 ; funding acquisition,  #6602655040  All authors have read and agreed to the published version of the manuscript.","[{Authorseq"":1,""auid"":9638921000,""given_name_pn"":""Markus"",""surname_pn"":""Malmberg"",""initials_pn"":""M.""},{""Authorseq"":2,""auid"":55889554600,""given_name_pn"":""Jussi"",""surname_pn"":""Sipilä"",""initials_pn"":""J.""},{""Authorseq"":3,""auid"":7003331105,""given_name_pn"":""Päivi"",""surname_pn"":""Rautava"",""initials_pn"":""P.""},{""Authorseq"":4,""auid"":54410706100,""given_name_pn"":""Jarmo"",""surname_pn"":""Gunn"",""initials_pn"":""J.""},{""Authorseq"":5,""auid"":6602655040,""given_name_pn"":""Ville"",""surname_pn"":""Kytö"",""initials_pn"":""V.""}]"""
7,S0002961019301758,#57190939344 #55601350100 #15750882000 #7004126363 contributed study design #57190939344 #57210261879 #57210256606 #55601350100 contributed acquisition data #57190939344 #16241671800 #7004126363 contributed data analysis #57190939344 #57210261879 #55601350100 #16241671800 #56305410400 #15750882000 #7004126363 drafted manuscript each author made final approval manuscript furthermore author certifies material submitted published publication appearance american journal surgery,2,"{furthermore: 'the', certifies: 'reviewed'}"," #57190939344 ,  #55601350100 ,  #15750882000  and  #7004126363  contributed to the study design.  #57190939344 ,  #57210261879 ,  #57210256606 , and  #55601350100  contributed to the acquisition of data.  #57190939344 ,  #16241671800 , and  #7004126363  contributed to data analysis.  #57190939344 ,  #57210261879 ,  #55601350100 ,  #16241671800 ,  #56305410400 ,  #15750882000 , and  #7004126363  drafted the manuscript. Each author has made final approval of the manuscript. Furthermore, each author certifies that this material has not been and will not be submitted to or published in any other publication before its appearance in the American Journal of Surgery.","[{Authorseq"":1,""auid"":57190939344,""given_name_pn"":""Leah K."",""surname_pn"":""Winer"",""initials_pn"":""L.K.""},{""Authorseq"":2,""auid"":55601350100,""given_name_pn"":""Benjamin H."",""surname_pn"":""Hinrichs"",""initials_pn"":""B.H.""},{""Authorseq"":3,""auid"":57210261879,""given_name_pn"":""Sisi"",""surname_pn"":""Lu"",""initials_pn"":""S.""},{""Authorseq"":4,""auid"":16241671800,""given_name_pn"":""Dennis"",""surname_pn"":""Hanseman"",""initials_pn"":""D.""},{""Authorseq"":5,""auid"":57210256606,""given_name_pn"":""Yuan"",""surname_pn"":""Huang"",""initials_pn"":""Y.""},{""Authorseq"":6,""auid"":56305410400,""given_name_pn"":""Chantal"",""surname_pn"":""Reyna"",""initials_pn"":""C.""},{""Authorseq"":7,""auid"":15750882000,""given_name_pn"":""Jaime"",""surname_pn"":""Lewis"",""initials_pn"":""J.""},{""Authorseq"":8,""auid"":7004126363,""given_name_pn"":""Elizabeth A."",""surname_pn"":""Shaughnessy"",""initials_pn"":""E.A.""}]"""
8,S0003267019314205,#55332475200 conceptualization methodology formal analysis writingreview editing #57201015033 validation investigation formal analysis #57211321440 investigation software #57211316345 shi resources data curation #57212222512 validation software #7102338786 visualization project administration #12041802500 supervision funding acquisition,3,"{shi: 'data', curation: 'integration', validation: 'evaluation'}"," #55332475200 : Conceptualization, Methodology, Formal analysis, Writing-Review & Editing.  #57201015033 : Validation, Investigation, Formal analysis.  #57211321440 : Investigation, Software.  #57211316345  shi: Resources, Data Curation.  #57212222512 : Validation, Software.  #7102338786 : Visualization, Project administration.  #12041802500 : Supervision, Funding acquisition.","[{Authorseq"":1,""auid"":55332475200,""given_name_pn"":""Xia"",""surname_pn"":""Zhang"",""initials_pn"":""X.""},{""Authorseq"":2,""auid"":57201015033,""given_name_pn"":""Danqing"",""surname_pn"":""Li"",""initials_pn"":""D.""},{""Authorseq"":3,""auid"":57211321440,""given_name_pn"":""Chaoyang"",""surname_pn"":""Dong"",""initials_pn"":""C.""},{""Authorseq"":4,""auid"":57211316345,""given_name_pn"":""Jianguo"",""surname_pn"":""Shi"",""initials_pn"":""J.""},{""Authorseq"":5,""auid"":57212222512,""given_name_pn"":""Yangang"",""surname_pn"":""Sun"",""initials_pn"":""Y.""},{""Authorseq"":6,""auid"":7102338786,""given_name_pn"":""Baoxian"",""surname_pn"":""Ye"",""initials_pn"":""B.""},{""Authorseq"":7,""auid"":12041802500,""given_name_pn"":""Yuandong"",""surname_pn"":""Xu"",""initials_pn"":""Y.""}]"""
9,S0003267019314242,these authors contributed equally,0,{},These authors contributed equally.,"[{Authorseq"":1,""auid"":13205211400,""given_name_pn"":""Xuechuan"",""surname_pn"":""Wang"",""initials_pn"":""X.""},{""Authorseq"":2,""auid"":57211948369,""given_name_pn"":""Xinjie"",""surname_pn"":""Li"",""initials_pn"":""X.""},{""Authorseq"":3,""auid"":57212106517,""given_name_pn"":""Xiao"",""surname_pn"":""Li"",""initials_pn"":""X.""},{""Authorseq"":4,""auid"":57203574213,""given_name_pn"":""Yansong"",""surname_pn"":""Wang"",""initials_pn"":""Y.""},{""Authorseq"":5,""auid"":55917209400,""given_name_pn"":""Qingxin"",""surname_pn"":""Han"",""initials_pn"":""Q.""},{""Authorseq"":6,""auid"":57195475557,""given_name_pn"":""Ji"",""surname_pn"":""Li"",""initials_pn"":""J.""}]"""
